GID;NOMBRE;OBSERVACIONES;TIPO_LOCAL_SEL_DOM;THE_GEOM.SDO_POINT.X;THE_GEOM.SDO_POINT.Y
 863;En vía pública;C4-n55;En via publica; 574128.746018673; 6136572.934234025
 447;En Vía Pública;C1-n91, fte. 1585;En via publica; 572663.149734619; 6137411.128298135
 866;En vía pública;C4-n61, En 1350;En via publica; 574087.489199314; 6137095.444521883
 874;En vía pública;C4-n70, En 1660;En via publica; 574037.959008157; 6137748.320349501
 457;En Vía Pública;C1-n15, en el 294;En via publica; 572322.320783306; 6136586.295267003
 482;En Vía Pública;C4-n27, En el 1508;En via publica; 574266.022816549; 6137467.210562678
 491;En Vía Pública;C4-n47, En 1131;En via publica; 574212.032308605; 6136654.18684125
 907;En vía pública;C5-n33;En via publica; 574672.065813498; 6137303.16748446
 880;En vía pública;C4-n91;En via publica; 574023.090990692; 6136321.464871388
 505;En Vía Pública;C4-n77;En via publica; 573943.721590899; 6137447.278771938
 889;En vía pública;C5-n7, Fte. 1492;En via publica; 574523.233703665; 6137377.35356667
 530;En Vía Pública;C2-n15;En via publica; 573283.651314425; 6136609.267614075
 895;En vía pública;C5-n12, En 1446;En via publica; 574422.048348653; 6137330.625608022
 917;En vía pública;C5-n40, S/N;En via publica; 574610.717190835; 6137870.928041091
 541;En Vía Pública;C2-n25, En 1311;En via publica; 573256.728602969; 6136965.564374492
 548;En Vía Pública;C2-n29, En 1412;En via publica; 573251.488609939; 6137191.752611027
 551;En Vía Pública;C2-n33;En via publica; 573214.218642011; 6137504.922961051
 920;En vía pública;C5-n43, En 1759;En via publica; 574645.923418729; 6138005.523110528
 557;En Vía Pública;C2-n36;En via publica; 573336.316301373; 6137418.135774605
 561;En Vía Pública;C2-n42,  1363/1367/1373;En via publica; 573350.355405062; 6137093.109252819
 572;En Vía Pública;C2-n57, En 1078;En via publica; 573514.570375493; 6136488.576939392
 584;En Vía Pública;C2-n75, En 1443/1445;En via publica; 573442.247720122; 6137241.157982639
 609;En vía pública;C3-n9, Fte. 1191;En via publica; 573906.661843635; 6136757.212277921
 660;En vía pública;C3-n49, En 1128/30;En via publica; 573811.665055141; 6136627.873123508
 928;En vía pública;C5-n51, En 1424;En via publica; 574933.566036981; 6137440.51000149
 646;En vía pública;C3-n34, En 1345;En via publica; 573662.607753143; 6137047.930294069
 664;En vía pública;C3-n51, En 1218;En via publica; 573799.551993618; 6136811.603606517
 665;En vía pública;C3-n52;En via publica; 573793.176514691; 6136898.408204218
 670;En vía pública;C3-n25, En 1640;En via publica; 573766.803826967; 6137461.336863712
 694;En vía pública;C3-n80;En via publica; 573557.531934206; 6137082.443040067
 697;En vía pública;C3-n93;En via publica; 573618.827418511; 6136483.142850985
 929;En vía pública;C5-n52, Fte. 1471;En via publica; 574851.094405359; 6137375.960757071
 940;En vía pública;C5-n60, Fte. 1768;En via publica; 574914.929222675; 6137957.946117033
 1016;En vía pública;C7-n30, Fte. 1612;En via publica; 575824.606701109; 6137822.342597894
 1030;En vía pública;C7-n52;En via publica; 575941.871587514; 6137855.096274743
 1027;En vía pública;C7-n49, fte. 1696;En via publica; 575854.68791101; 6138064.233230996
 1028;En vía pública;C7-n50;En via publica; 575902.195099691; 6137967.47901899
 847;En vía publica;C4-n36, En 1474;En via publica; 574169.066553102; 6137376.525594609
 1032;En vía pública;C7-n59, Fte. 1568;En via publica; 575855.37062911; 6137757.752432018
 851;En vía pública;C4-n39;En via publica; 574169.13256101; 6137208.344104445
 399;En Vía Pública;C1-n22, Entre el 1282/1290;En via publica; 572056.28596093; 6136572.45902764
 1020;En vía pública;C7-n36;En via publica; 575732.983849934; 6138119.831230616
 1031;En vía pública;C7-n53, Entre 1586 y esq.;En via publica; 575960.887372101; 6137816.470462301
 411;En Vía Pública;C1-n49, Fte 344;En via publica; 572334.665984323; 6136864.656942445
 424;En Vía Pública;C1-n59;En via publica; 572255.238592304; 6136858.277023025
 1033;En vía pública;C7-n60, Fte. 2147;En via publica; 575955.421988254; 6137778.656292407
 1396;En Vía Pública;C8,n20,fte.1305;En via publica; 575836.118320924; 6137193.955910863
 431;En Vía Pública;C1-n73, En 1571;En via publica; 572578.016009159; 6137337.34573607
 474;En Vía Pública;C4-n10;En via publica; 574348.198260694; 6136273.290494005
 476;En Vía Pública;C4-n15;En via publica; 574322.296674464; 6136586.423606468
 477;En Vía Pública;C4-n18;En via publica; 574304.675441873; 6136793.729491657
 479;En Vía Pública;C4-n21;En via publica; 574272.550534368; 6137012.330896032
 1040;En vía pública;C7-n71, En 1883;En via publica; 575929.244935096; 6138476.337490454
 487;En Vía Pública;C4-n35;En via publica; 574159.699762634; 6137478.49128704
 496;En Vía Pública;C4-n58, En 1200;En via publica; 574110.607410858; 6136784.537194023
 503;En Vía Pública;C4-n72, Fte. 1682;En via publica; 573920.955840166; 6137780.010436877
 504;En Vía Pública;C4-n75;En via publica; 573931.756103534; 6137604.800671486
 507;En Vía Pública;C4-n79;En via publica; 573957.905867854; 6137252.772556885
 508;En Vía Pública;C4-n82, En 1337 BIS;En via publica; 573971.724480954; 6137071.932625006
 509;En Vía Pública;C4-n85, En 1225;En via publica; 573992.03421413; 6136835.016018596
 523;En Vía Pública;C2-n4, 1470/1472;En via publica; 573139.585324181; 6137290.902154693
 1042;En vía pública;C7-n74;En via publica; 575995.371753218; 6138396.066701325
 559;En Vía Pública;C2-n40;En via publica; 573342.272284756; 6137216.483194334
 564;En Vía Pública;C2-44, ;En via publica; 573371.287697162; 6136961.011011214
 581;En Vía Pública;C2-n69, Enl 1336;En via publica; 573472.02763704; 6137027.593435601
 583;En Vía Pública;C2-n72, En 1389;En via publica; 573452.032549967; 6137139.055410351
 1046;En vía pública;C8-n1;En via publica; 575591.03565772; 6137601.643890768
 1048;En vía pública;C8-n5 , En 2024/2026;En via publica; 575696.79917737; 6137654.587273055
 1049;En vía pública;C8-n6;En via publica; 575789.188264092; 6137699.73415381
 1052;En vía pública;C8-n9, En 1560;En via publica; 575771.419945949; 6137709.869277272
 1053;En vía pública;C8-n11, Esquina en 1496;En via publica; 575788.116895075; 6137595.945467859
 1055;En vía pública;C8-n15, Entre 1444/1448;En via publica; 575816.674719726; 6137454.752414404
 1061;En vía pública;C8-n27, Fte 1148;En via publica; 575745.877479545; 6136908.136500718
 1062;En vía pública;C8-n32, En 1299;En via publica; 575714.836583033; 6137257.692079318
 1060;En vía pública;C8-n24, Entre 1124/1128;En via publica; 575871.216539712; 6136770.542107808
 1063;En vía pública;C8-n37, En 1395;En via publica; 575666.759216862; 6137462.830591938
 1064;En vía pública;C8-n39, En 1413;En via publica; 575645.903586347; 6137510.474596978
 1065;En vía pública;C8-n41, En 1469;En via publica; 575617.175491278; 6137572.415274448
 1066;En vía pública;C8-n43, Fte 1515;En via publica; 575601.981606103; 6137640.19545825
 1117;En vía pública;c10_n17_En el 1510;En via publica; 574700.587122455; 6136344.874147882
 1120;En vía pública;C8-n84, Fte 1434;En via publica; 575061.418002037; 6137378.070318814
 1122;En vía pública;C8-n85, Fte 1434;En via publica; 575064.360530773; 6137371.204418431
 1124;En vía pública;C8-n86, Fte 1412;En via publica; 575081.357700576; 6137337.571210429
 1126;En vía pública;C8-n87;En via publica; 575009.093746034; 6137270.722617106
 1125;En vía pública;c10_n23;En via publica; 574522.227191953; 6136822.471457182
 1129;En vía pública;C8-n92, Entre 1259/1253;En via publica; 575145.924091725; 6137021.197632698
 1134;En vía pública;C8-n99, En 1362;En via publica; 575135.114299345; 6137247.458652542
 1136;En vía pública;C8-n101, Fte 1266;En via publica; 575341.625924468; 6136984.523634925
 1135;En vía pública;c10_n28_En el 1245;En via publica; 574621.425532674; 6136920.027441269
 1143;En vía pública;c10_n33;En via publica; 574652.630308729; 6136513.05146725
 1144;En vía pública;C8-n109, Fte 1401 - Sobre vereda;En via publica; 574910.139765692; 6137257.825656106
 1148;En vía pública;C8-n113, Fte 1345;En via publica; 574811.834664787; 6137174.954570264
 1150;En vía pública;C8-n114, Fte 1312;En via publica; 574833.369076347; 6137111.663383842
 1149;En vía pública;c10_n37_Frente a Plazoleta;En via publica; 574779.091769582; 6136241.077208584
 1151;En vía pública;C8-n117, Fte 1373;En via publica; 574746.283875693; 6137124.927925221
 1153;En vía pública;C8-n119, Entre 1404/1406;En via publica; 574727.083530103; 6137169.50225233
 1156;En vía pública;c10_n41_En el 1092;En via publica; 574748.872407508; 6136629.987259624
 1158;En Vía Pública;C8-n126, S/N - Sobre Vereda;En via publica; 574495.12090732; 6137130.42278434
 1164;En vía pública;c10_n47_Entre el 1286/1292;En via publica; 574713.397504204; 6137051.744443351
 1170;En vía pública;c10_n60;En via publica; 574999.496029927; 6136305.78605998
 1188;En Vía Pública;C3-n13, S/N;En via publica; 573888.977561938; 6136969.492258237
 1190;En vía pública;c10_n84_Fte.1045;En via publica; 575179.169845736; 6136559.36592434
 1191;En vía pública;c10_n87_Fte.1164;En via publica; 575151.24978295; 6136813.274260026
 1376;En vía pública;C12-n5;En via publica; 576326.669977807; 6136403.879772142
 1108;En vía pública;c10_n16_En el 1460;En via publica; 574605.00196633; 6136338.304721344
 1109;En vía pública;C8-n80;En via publica; 575433.026399744; 6137269.362769482
 1121;En vía pública;c10_n20_En el 1098;En via publica; 574538.650758298; 6136613.892164606
 1123;En vía pública;c10_n22_Entre el 1144/1146;En via publica; 574532.08133176; 6136709.805792058
 1128;En vía pública;c10_n25_Entre el 1278/1280;En via publica; 574508.75986755; 6136985.39323532
 1132;En vía pública;c10_n27_Fte.1283;En via publica; 574623.067889309; 6137008.386228203
 1154;En vía pública;c10_n39;En via publica; 574764.310559872; 6136426.991979605
 1155;En vía pública;C8-n120, En 1442;En via publica; 574703.84937341; 6137229.629521174
 1167;En vía pública;c10_n51;En via publica; 574832.304124539; 6136830.354769028
 1168;En vía pública;c10_n57_Fte.948;En via publica; 574887.487307457; 6136356.042172995
 1175;En vía pública;c10_n68_En el 1265;En via publica; 574935.444121183; 6136996.232789105
 1177;En vía pública;c10_n70_Entre el 1734/1736;En via publica; 575009.350169733; 6137027.766036487
 1178;En vía pública;c10_n71_Fte.1235;En via publica; 575048.438257634; 6136992.948075836
 1182;En vía pública;C3-n2, S/N;En via publica; 573960.564413969; 6136221.322353479
 1201;En vía pública;C9-n42;En via publica; 576164.690456274; 6137151.898282165
 1205;En vía pública;C9-n51;En via publica; 576203.868281553; 6136698.049477877
 1206;En vía pública;C9-n53;En via publica; 576210.096221207; 6136590.518468471
 1207;En vía pública;C9-n54;En via publica; 575998.112459327; 6136562.102583919
 1210;En vía pública;C9-n62, Fte. 1144;En via publica; 575952.46866895; 6136922.646325272
 1211;En vía pública;C9-n64;En via publica; 575940.541731358; 6137052.384292685
 1213;En vía pública;C9-n70;En via publica; 575936.789449384; 6137274.581610368
 1218;En vía pública;C9-n79;En via publica; 576008.325896646; 6137683.093730653
 1219;En vía pública;C9-n80, Fte. 1453;En via publica; 576001.361789587; 6137618.3273395
 1224;En vía pública;C9-n84;En via publica; 576013.086577184; 6137436.127529778
 1226;En vía pública;C9-n90;En via publica; 576046.118821141; 6136967.701977422
 1228;En vía pública;C9-n93;En via publica; 576068.993655482; 6136699.354968534
 1246;En vía pública;C11-n14, Fte. 880;En via publica; 575382.849070589; 6136267.82973524
 1247;En vía pública;C11-n13, Fte. 880;En via publica; 575383.443313858; 6136270.206708314
 1248;En vía pública;C11-n16;En via publica; 575379.283610979; 6136329.036791879
 1249;En vía pública;C11-n20, Fte. 1109;En via publica; 575368.313692423; 6136679.048882643
 1255;En vía pública;C11-n33, Fte. 851;En via publica; 575494.599509589; 6136232.887468123
 1256;En vía pública;C11-n35;En via publica; 575595.428759724; 6136257.84081997
 1257;En vía pública;C11-n37;En via publica; 575588.0379979; 6136354.99026871
 1261;En vía pública;C11-n43, Fte. 1198;En via publica; 575529.675951306; 6136865.882294366
 1264;En vía pública;C11-n46, Fte. 1143;En via publica; 575658.358686957; 6136789.349988901
